ncr_id,date,part_id,part_name,process,defect_type,description,disposition,root_cause
NCR-2025-0001,2025-01-13,OPT-5506,Beam Splitter Mount,Optical Assembly,Surface Scratch/Dig,"Inspection found a 60 um scratch on the front optical surface, exceeds scratch-dig spec 10-5.",Rework,Operator Error
NCR-2025-0002,2025-02-14,CTG-7912,AR-Coated Optic,Coating / Cleanliness,Contamination / Coating Defect,"Particulate contamination on coated surface, 3 particles > 25 um in clear aperture.",Rework,Process Drift
NCR-2025-0003,2025-09-16,FBR-1434,Collimator Assembly,Fiber Assembly,Fiber Alignment / Insertion Loss,"Core offset suspected; IL 2.0 dB vs 0.3 dB target, re-termination needed.",Scrap,Machine/Equipment
NCR-2025-0004,2025-08-18,FBR-5557,Fiber Pigtail,Fiber Assembly,Fiber Alignment / Insertion Loss,"Insertion loss measured 1.5 dB, exceeds 0.3 dB max after active alignment.",Return to Vendor,Operator Error
NCR-2025-0005,2025-03-21,MCH-4527,Baseplate,Precision Machining,Dimensional Out-of-Tolerance,"Bore dia measured 12.07 mm, drawing calls 10.0 +/- 0.05 mm. Out of tolerance.",Rework,Machine/Equipment
NCR-2025-0006,2025-11-06,MCH-5333,Housing,Precision Machining,Dimensional Out-of-Tolerance,"Step height out by 0.04 mm relative to datum, exceeds 0.01 mm GD&T callout.",Use Under Deviation,Process Drift
NCR-2025-0007,2025-02-10,ELx-5803,Solder Assembly,Electronics / Bonding,Solder / Bond Defect,Bridging observed between R12 and adjacent pad after reflow.,Repair,Machine/Equipment
NCR-2025-0008,2025-01-24,OPT-4733,Mirror Substrate,Optical Assembly,Surface Scratch/Dig,"Inspection found a 60 um scratch on the front optical surface, exceeds scratch-dig spec 40-20.",Rework,Machine/Equipment
NCR-2025-0009,2025-08-21,MCH-6977,Flexure Mount,Precision Machining,Dimensional Out-of-Tolerance,Bore diameter 5.13 mm vs 25.0 mm nominal (0.01 mm tol); oversize.,Rework,Process Drift
NCR-2025-0010,2025-12-26,MCH-2169,Flexure Mount,Precision Machining,Dimensional Out-of-Tolerance,"Slot width out by 0.08 mm relative to datum, exceeds 0.02 mm GD&T callout.",Use Under Deviation,Process Drift
NCR-2025-0011,2025-05-19,ELx-4598,Solder Assembly,Electronics / Bonding,Solder / Bond Defect,Cold solder joint on R12; reflow voiding 28% exceeds 25% IPC limit.,Repair,Machine/Equipment
NCR-2025-0012,2025-05-18,ELx-2084,Wire-bond Module,Electronics / Bonding,Solder / Bond Defect,Bridging observed between J1 pin 4 and adjacent pad after reflow.,Repair,Process Drift
NCR-2025-0013,2025-12-02,FBR-9179,Connector Term,Fiber Assembly,Fiber Alignment / Insertion Loss,"Core offset suspected; IL 1.5 dB vs 0.5 dB target, re-termination needed.",Repair,Operator Error
